GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A096LP55	UQCRHL	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	A0A096LP55	UQCRHL	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	A0A096LP55	UQCRHL	part_of	GO:0005750	mitochondrial respiratory chain complex III	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000393767|RGD:1305987|SGD:S000001929	9606	GO_Central		C
UniProtKB	E0CX11	STMP1	part_of	GO:0005746	mitochondrial respirasome	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002935700|ZFIN:ZDB-GENE-041210-156	9606	GO_Central		C
UniProtKB	E9PQ53	NDUFC2-KCTD14	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009423	9606	InterPro		C
UniProtKB	E9PQ53	NDUFC2-KCTD14	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	E9PQ53	NDUFC2-KCTD14	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
UniProtKB	E9PQ53	NDUFC2-KCTD14	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000318335|UniProtKB:O95298|UniProtKB:Q02827	9606	GO_Central		C
UniProtKB	O00217	NDUFS8	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000315	IMP	PMID:11112787		9606	UniProt		C
UniProtKB	O00217	NDUFS8	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000314	IDA	PMID:12611891		9606	UniProt		C
UniProtKB	O00217	NDUFS8	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000091257|TAIR:locus:2015636|TAIR:locus:2207285|UniProtKB:O00217|UniProtKB:P42028	9606	GO_Central		C
UniProtKB	O00217	NDUFS8	part_of	GO:0005747	mitochondrial respiratory chain complex I	ECO:0000303	NAS	PMID:9878551		9606	UniProt		C
UniProtKB	O00408	PDE2A	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0999	9606	UniProt		C
UniProtKB	O00408	PDE2A	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0168	9606	UniProt		C
