Entry	Gene names
P11217	PYGM
Q9NR77	PXMP2 PMP22
Q9Y3T6	R3HCC1
P50876	RNF144A KIAA0161 RNF144 UBCE7IP4
P01116	KRAS KRAS2 RASK2
Q9Y2K5	R3HDM2 KIAA1002
A8MTL3	RNF212B C14orf164
P61106	RAB14
P59190	RAB15
Q9UL25	RAB21 KIAA0118
P29762	CRABP1 RBP5
Q9UPQ7	PDZRN3 KIAA1095 LNX3 SEMCAP3
P29373	CRABP2
P15153	RAC2
O15315	RAD51B RAD51L1 REC2
Q96PU8	QKI HKQ
P51151	RAB9A RAB9
Q9H6Z4	RANBP3
Q2KHR3	QSER1
Q7Z419	RNF144B IBRDC2 P53RFP
Q9H0T7	RAB17
O60671	RAD1 REC1
Q7Z5L2	R3HCC1L C10orf28 GIDRP88
Q96B01	RAD51AP1 PIR51
P61224	RAP1B OK/SW-cl.11
Q15907	RAB11B YPT3
O60896	RAMP3
Q86U06	RBM23 RNPC4 PP239
Q9NYR8	RDH8 PRRDH SDR28C2
O95072	REC8 REC8L1
Q9H0Z9	RBM38 RNPC1 SEB4
Q6ZSC3	RBM43 C2orf38
Q9Y5S9	RBM8A RBM8 HSPC114 MDS014
Q9H082	RAB33B
Q5U651	RASIP1
Q9NW64	RBM22 ZC3H16 199G4
P25800	LMO1 RBTN1 RHOM1 TTG1
Q8TC12	RDH11 ARSDR1 PSDR1 SDR7C1 CGI-82
Q9P2K3	RCOR3 KIAA1343
Q9BTD8	RBM42
Q7Z6P3	RAB44
Q92928	RAB1C
O14966	RAB29 RAB7L1
O75884	RBBP9 BOG RBBP10
P0DJD4	RBMY1C
P06400	RB1
Q5JT25	RAB41
P51149	RAB7A RAB7
P53805	RCAN1 ADAPT78 CSP1 DSC1 DSCR1
Q14257	RCN2 ERC55
Q96D15	RCN3 UNQ239/PRO272
Q8TAI7	RHEBL1
B7ZAP0	RABGAP1L HHL KIAA0471
Q96S21	RAB40C RARL RASL8C
Q14206	RCAN2 DSCR1L1 ZAKI4
Q96T37	RBM15 OTT OTT1
Q6ZP01	RBM44
Q16576	RBBP7 RBAP46
Q8TBY0	RBM46
C9J798	RASA4B
Q96NR8	RDH12 SDR7C2
Q8NBN7	RDH13 SDR7C3 PSEC0082 UNQ736/PRO1430
Q96EV2	RBM33 PRR8
Q5T6V5	C9orf64
B2RC85	RSPH10B2
Q8TDY2	RB1CC1 KIAA0203 RBICC
Q9BWF3	RBM4 RBM4A
P18754	RCC1 CHC1
Q69383	ERVK-6 ERVK6
P42696	RBM34 KIAA0117
P0DJD3	RBMY1A1 RBM1 RBM2 YRRM1 YRRM2
P22891	PROZ
Q00577	PURA PUR1
Q92626	PXDN KIAA0230 MG50 PRG2 VPO VPO1
Q7RTV5	PRXL2C AAED1 C9orf21
A6NJB7	PRR19
A0A1B0GVH4	PRSS51
O75360	PROP1
P0CG20	PRR35 C16orf11
Q9H6K5	PRR36
Q7Z6L0	PRRT2
P17980	PSMC3 TBP1
Q6UWB4	PRSS55 TSP1 UNQ9391/PRO34284
P27918	CFP PFC
Q99946	PRRT1 C6orf31 NG5
A0A1B0GWB2	PRRT1B IFITMD8
Q9UKY0	PRND DPL UNQ1830/PRO3443
Q96M27	PRRC1
C9JH25	PRRT4
O43490	PROM1 PROML1 MSTP061
P35080	PFN2
P0CW18	PRSS56
A0A1B0GWK0	PVALEF
Q9Y6I8	PXMP4 PMP24
Q6UX71	PLXDC2 TEM7R UNQ2514/PRO6003
Q5TGL8	PXDC1 C6orf145
P17812	CTPS1 CTPS
Q2L4Q9	PRSS53
P0C7W0	PRR29 C17orf72
P81277	PRLH PRH
P62195	PSMC5 SUG1
P11908	PRPS2
A4D1T9	PRSS37 TRYX2
P54821	PRRX1 PMX1
Q9UJV8	PURG
O75192	PEX11A PEX11
Q8N0Z8	PUSL1
P27708	CAD
P0DMW2	NLRP2B CLRX.1 NLRP2P NOD24 POP4
W6CW81	PYDC5 POP3
Q9NRF8	CTPS2
O95294	RASAL1 RASAL
P57729	RAB38
O60216	RAD21 HR21 KIAA0078 NXP1 SCC1
Q86SE5	RALYL HNRPCL3
Q8TD07	RAET1E LETAL N2DL4 ULBP4 UNQ1867/PRO4303
P11234	RALB
Q8NC74	RBBP8NL C20orf151
P62834	RAP1A KREV1
P62826	RAN ARA24 OK/SW-cl.81
Q9UDW1	UQCR10 UCRC HSPC119
Q6MZT1	RGS7BP R7BP
Q8IY67	RAVER1 KIAA1978
Q15283	RASA2 GAP1M RASGAP
Q08257	CRYZ
Q04671	OCA2 D15S12 P
O00391	QSOX1 QSCN6 UNQ2520/PRO6013
P11233	RALA RAL
P51153	RAB13 GIG4
P61006	RAB8A MEL RAB8
Q15032	R3HDM1 KIAA0029 R3HDM
Q6ZMN7	PDZRN4 LNX4 SEMCAP3L
P63000	RAC1 TC25 MIG5
Q969Q5	RAB24
P10082	PYY
P10826	RARB HAP NR1B2
P61019	RAB2A RAB2
Q9HCJ3	RAVER2 KIAA1579
Q15771	RAB30
Q6ZS82	RGS9BP R9AP
P63244	RACK1 GNB2L1 HLC7 PIG21
Q09MP3	RAD51AP2
Q9UL26	RAB22A RAB22
Q9UKM9	RALY HNRPCL2 P542
P07919	UQCRH
P61020	RAB5B
Q13636	RAB31 RAB22B
Q7Z444	ERAS HRAS2 HRASP
Q9BUV8	RAB5IF C20orf24 PNAS-11
P24386	CHM REP1 TCD
P55895	RAG2
Q15276	RABEP1 RAB5EP RABPT5 RABPT5A
P78406	RAE1 MRNP41
Q8IZ41	RASEF RAB45
P51159	RAB27A RAB27
Q9BZE2	PUS3 FKSG32
Q15109	AGER RAGE
Q53S08	RAB6D WTH3DI
Q9H0U4	RAB1B
Q9Y580	RBM7
P01112	HRAS HRAS1
Q15434	RBMS2 SCR3
P13631	RARG NR1B3
P49792	RANBP2 NUP358
A6NK89	RASSF10
O75943	RAD17 R24L
Q9Y5P3	RAI2
P01111	NRAS HRAS1
Q86YS6	RAB43 RAB41
Q8IUH3	RBM45 DRB1 DRBP1
O75901	RASSF9 PAMCI PCIP1
Q86YV0	RASAL3
Q6ZTQ3	RASSF6
Q9NXS2	QPCTL
Q96IS3	RAX2 QRX RAXL1
P52756	RBM5 H37 LUCA15
P98179	RBM3 RNPL
Q96P65	QRFPR GPR103
P61578	ERVK-16
P46063	RECQL RECQ1 RECQL1
