ID,Organelle,Manual_annotation
A0AV96-2;A0AV96,Nucleus,
A0AVT1;A0AVT1-2,,
A0FGR8-2;A0FGR8;A0FGR8-4,ER,
A0MZ66;A0MZ66-3;A0MZ66-6;A0MZ66-4;A0MZ66-5;A0MZ66-8;A0MZ66-2,Cytoplasm,
A1A4S6,Cytoplasm,
A1L0T0,,
A2RRP1;A2RRP1-2,ER,
A2RUS2;A2RUS2-2,,
A3KMH1-3;A3KMH1,Secreted,
A3KN83-3;A3KN83-2;A3KN83,,
A4D1E9;A4D1E9-2,Nucleolus,
A4D1P6;A4D1P6-2;A4D1P6-3,,
A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4,,
A6NC98;A6NC98-4;A6NC98-2,ER,
A6NDG6,,
A6NDU8,,
A6NFQ2;A6NFQ2-3,,
A6NHL2-2;A6NHL2,Cytoplasm,
A6NHQ2,Nucleolus,nucleolar rRNA processing
A6NHR9;A6NHR9-2,,
A6NIH7,,
A6NJ78,,
A6NKT7,,
A6ZKI3,,
A8CG34;A8CG34-2,,
A8MXV4,,
A9UHW6;A9UHW6-2;A9UHW6-3,,
B0I1T2;B0I1T2-4,,
B7ZAQ6-3;B7ZAQ6-2;P0CG08;B7ZAQ6;A6NKF9,,
C4AMC7;Q6VEQ5,Cytoplasm,Actin regulation
C9JLW8,,
E9PAV3;Q13765;E9PAV3-2,,
E9PRG8,,
O00115-2;O00115,,
O00116,,
O00139;O00139-4;O00139-1;O00139-5,Cytoplasm,
O00148;O00148-2;O00148-3,,
O00151,Cytoplasm,
O00154-4;O00154-2;O00154-3,Mitochondrion,
O00159,,
O00161;O00161-2,,
O00165;O00165-2;O00165-5;O00165-3,,
O00170,Cytoplasm,
O00178,Cytoplasm,
O00182-2;O00182,,
O00186,Cytoplasm,
O00193,,
O00203,,
O00214-2;O00214,Cytoplasm,
O00217,Mitochondrion,complex I
O00221,Cytoplasm,
O00231;O00231-2,,
O00232;O00232-2,,
O00233;O00233-2,,
O00244,,
O00255-2;O00255;O00255-3,Nucleus,
O00264;O00264-2,ER,
O00267,Nucleus,
O00268,Nucleus,
O00273,Cytoplasm,
O00299,,
O00303,Cytoplasm,
O00329,Cytoplasm,
O00330-3;O00330,Mitochondrion,
O00391,Secreted,
O00399,Cytoplasm,
O00410;O00410-3,,
O00411,Mitochondrion,
O00422,,EJC
O00425,,
O00429-3,Mitochondrion,
O00442;O00442-2,Nucleus,
O00443,,
O00459,,
O00461,,
O00468-6;O00468-7,Secreted,
O00469-2;O00469,ER,
O00471,Cytoplasm,
O00479,Nucleus,
O00483,Mitochondrion,
O00487,,
O00499-9;O00499-7;O00499-4;O00499-6;O00499-2;O00499-10;O00499-8;O00499-11,,
O00505,,
O00515,Secreted,
O00541;O00541-2,Nucleolus,
O00560;O00560-3,,
O00566,Nucleolus,
O00567,,nucleolar rRNA processing
O00571;O00571-2,,
O00584,Secreted,
O00592-2;O00592,,
O00625,,
O00629,,
O00743;O00743-2;O00743-3,Cytoplasm,
O00746,Mitochondrion,
O00750,,
O00754;O00754-2,,
O00762;O00762-2;O00762-3,,
O00764;O00764-3;O00764-2,Cytoplasm,
O00767,ER,
O14497;O14497-2;O14497-3,Nucleus,
O14519;O14519-2,,
O14521-2;O14521;O14521-4,Mitochondrion,complex II
O14530;O14530-2,,
O14545,,
O14548,Mitochondrion,complex IV
O14561,Mitochondrion,
O14562,,
O14578-4,Cytoplasm,
O14579;O14579-3;O14579-2,Cytoplasm,
O14617-5;O14617;O14617-4;O14617-2;O14617-3,Cytoplasm,
O14618,Cytoplasm,
O14639-6,Cytoplasm,Actin regulation
O14646-2;O14646,,
O14647;O14647-2,Nucleus,
O14653;O14653-2;O14653-3,,
O14656,,
O14657,,
O14662,Cytoplasm,
O14672,,
O14686;O14686-3,Nucleus,
O14727-4;O14727;O14727-5;O14727-3;O14727-2,Cytoplasm,
O14734,Cytoplasm,
O14735;O14735-3,ER,
O14737;O14737-2,,
O14744;O14744-2;O14744-5;O14744-3;O14744-4,,
O14745;O14745-2,Cytoplasm,
O14773;O14773-2,,
O14776-2;O14776,Nucleus,
O14777,Nucleus,
O14786;O14786-3;O14786-2,Secreted,
O14787-2;O14787,,
O14802,Nucleus,
O14818,,
O14828;O14828-2,,
O14874;O14874-2;O14874-3,Mitochondrion,
O14879,Mitochondrion,
O14880,ER,
O14893;O14893-3;O14893-2,,
O14907,,
O14908,Cytoplasm,
O14920;O14920-2;O14920-4,,
O14925,Mitochondrion,
O14929;O14929-2,,
O14933;O14933-2,,
O14936-3;O14936;O14936-4;O14936-6;O14936-2;O14936-5,,
O14949,Mitochondrion,complex III
O14950,,Myosins
O14964;O14964-2,Cytoplasm,
O14966;O14966-2;O14966-3,Cytoplasm,
O14972;O14972-2,,
O14974;O14974-3;O14974-5;O14974-2,Cytoplasm,
O14975;O14975-2,ER,
O14976;O14976-2,Cytoplasm,
O14979,,
O14979-3;O14979-2,,
O14980,,
O14981,Nucleus,
O15020,Cytoplasm,
O15027;O15027-5,ER,
O15031,,Rho GTPase regulation
O15042-2;O15042;O15042-3,Nucleus,
O15047,Nucleus,
O15054-1;O15054,Nucleus,
O15056;O15056-2;O15056-3,Cytoplasm,
O15066;O15066-2,Cytoplasm,
O15067,Cytoplasm,
O15084;O15084-4;O15084-1;O15084-2,Nucleus,
O15091;O15091-2;O15091-4,Mitochondrion,
O15111,,
O15116,Nucleus,
O15118;O15118-2,,
O15126;O15126-2,,
O15127,,
O15143,Cytoplasm,Arp2/3 complex
O15144,Cytoplasm,Arp2/3 complex
O15145,Cytoplasm,Arp2/3 complex
O15155;O15155-2,ER,
O15160;O15160-2,Nucleus,
O15162-2;O15162,Nucleus,
O15164;O15164-2,,
O15173;O15173-2,,
O15212,,
O15213,Nucleolus,
O15226-2;O15226,Nucleolus,
O15228;O15228-2,,
O15230,Secreted,
O15231-3;O15231-2,Cytoplasm,
O15235,Mitochondrion,
O15254;O15254-2,,
O15258,,
O15260;O15260-2;O15260-3,ER,
O15269,ER,
O15270,ER,
O15294,,
O15305,Cytoplasm,
O15320-8;O15320-6,ER,
O15347,,
O15355,Cytoplasm,
O15357;O15357-2,Cytoplasm,
O15371;O15371-3,Cytoplasm,
O15372,Cytoplasm,
O15379;O15379-2,,
O15381;O15381-2;O15381-5;O15381-4,Nucleolus,
O15382;O15382-2,Mitochondrion,
O15397;O15397-2,,
O15400-2;O15400,,
O15427,,
O15439;O15439-2;O15439-3;O15439-4,,
O15446-2,Nucleolus,
O15460-2;O15460,ER,
O15498;O15498-2,Cytoplasm,
O15504,Nucleus,
O15511;O15511-2,Cytoplasm,Arp2/3 complex
O15514,Nucleus,
O15530;O15530-3;O15530-4;O15530-5;Q6A1A2,,
O15533;O15533-3;O15533-2;O15533-4,ER,
O15541,,
O43143,Nucleolus,mRNA splicing
O43148-2;O43148,Nucleus,
O43149,,
O43156,Cytoplasm,
O43159,Nucleolus,nucleolar rRNA processing
O43166-3;O43166-2;O43166,Cytoplasm,
O43169,Mitochondrion,
O43172-2;O43172,Nucleus,mRNA splicing
O43175,,
O43181,Mitochondrion,complex I
O43237,Cytoplasm,
O43242,,
O43252,,
O43264;O43264-2,ER,
O43286,,
O43290,Nucleus,
O43292;O43292-2,ER,
O43299,,
O43314-2;O43314,Cytoplasm,
O43324;O43324-2,,
O43353;O43353-2,Cytoplasm,
O43390;O43390-3,,hnRNP
O43395,Nucleus,
O43396,,
O43399-2;O43399-4;O43399-3;O43399-6,,
O43399;O43399-5;O43399-7,,
O43402,Cytoplasm,
O43414;O43414-3;O43414-2,,
O43427-2;O43427,Nucleus,
O43432;O43432-3;O43432-4,,
O43447;O43447-2,,mRNA splicing
O43464;O43464-3;O43464-2,Mitochondrion,
O43488,Cytoplasm,
O43491,Cytoplasm,
O43493-3;O43493-2;O43493-5;O43493,,
O43504,Cytoplasm,
O43516;O43516-3;O43516-2;O43516-4,Cytoplasm,
O43583,,
O43592,,
O43598;O43598-2,,
O43615,Mitochondrion,
O43617;O43617-2,ER,
O43633,,
O43660;O43660-2,Nucleus,
O43663,,
O43665-3;O43665-2;O43665,,
O43670-2;O43670;O43670-4;O43670-3,,
O43674;O43674-2,Mitochondrion,complex I
O43676,Mitochondrion,complex I
O43678;O43678-2,Mitochondrion,complex I
O43681,,
O43684-2;O43684,Nucleus,
O43707;O43707-2;O43707-3,,Actin regulation
O43708;O43708-3;O43708-2,Cytoplasm,
O43709;O43709-3,,
O43719,Nucleus,
O43747;O43747-2,,
O43752,,
O43760-2;O43760,,
O43765,,
O43768;O43768-2;O43768-3;O43768-9;O43768-4;O43768-5;O43768-6;O43768-7;O43768-8,Cytoplasm,
O43772,Mitochondrion,
O43776,Cytoplasm,
O43795-2,,
O43805,,
O43808,Cytoplasm,
O43809,Nucleus,
O43813,Cytoplasm,
O43815;O43815-2,Cytoplasm,
O43818,Nucleolus,nucleolar rRNA processing
O43819,Mitochondrion,
O43823,,
O43837;O43837-2,Mitochondrion,
O43847;O43847-2,,
O43852;O43852-3;O43852-6;O43852-5;O43852-15;O43852-10,Secreted,
O43865;O43865-2,ER,
O43896,Cytoplasm,
O43913,Nucleus,
O43920,Mitochondrion,complex I
O43924,Cytoplasm,
O43929;O43929-2;O43929-3,Nucleus,
O43933;O43933-2,Cytoplasm,
O60216,Nucleus,
O60220,Mitochondrion,
O60231,Nucleus,
O60232,,
O60234,,
O60244,Nucleus,
O60256;O60256-2,,
O60264,Nucleus,
O60271;O60271-3,Cytoplasm,
O60281,Nucleus,
O60287,Nucleolus,
O60293;O60293-2,,
O60306,Nucleus,
O60313-2;O60313,Mitochondrion,
O60318,,
O60333-2;O60333;O60333-4,Mitochondrion,
O60341;O60341-2,Nucleus,
O60343-3;O60343;O60343-2,Cytoplasm,
O60437,,
O60443,Cytoplasm,
O60476,,
O60488-2;O60488,,
O60493;O60493-2;O60493-4;O60493-3,,
O60499;O60499-2,,
O60502;O60502-3,,
O60504,,
O60506;O60506-2,,
O60508,Nucleus,mRNA splicing
O60518,,
O60524-3;O60524;O60524-4;O60524-5,Nucleus,
O60547,,
O60563,Nucleus,
O60566;O60566-3,,
O60568,ER,
O60573,,
O60610;O60610-2;O60610-3,Cytoplasm,Actin regulation
O60613,ER,
O60645-3;O60645-2;O60645,,
O60664;O60664-4,Cytoplasm,
O60678;O60678-2,Cytoplasm,
O60684,,
O60701;O60701-3;O60701-2,,
O60711;O60711-2,,
O60716-5;O60716-3;O60716-2;O60716;O60716-8;O60716-7;O60716-6;O60716-4;O60716-21;O60716-19;O60716-18;O60716-17;O60716-24;O60716-23;O60716-22;O60716-20;O60716-29;O60716-27;O60716-26;O60716-25;O60716-32;O60716-31;O60716-30;O60716-28,,
O60749,,
O60762,ER,
O60763,Cytoplasm,
O60783,Mitochondrion,
O60784;O60784-2;O60784-4;O60784-3,Cytoplasm,
O60825;O60825-2,,
O60826,,
O60828-2;O60828;O60828-5;O60828-4;O60828-3,Nucleus,
O60830,Mitochondrion,
O60831,,
O60832;O60832-2,,nucleolar rRNA processing
O60841,Cytoplasm,
O60869,,
O60870;O60870-2,,
O60879-3,Cytoplasm,
O60884,,
O60885;O60885-2;O60885-3,Nucleus,
O60888-3;O60888;O60888-2,,
O60925,,
O60934,Nucleus,
O60942;O60942-2;O60942-4;O60942-3,Nucleus,
O75027-2;O75027,Mitochondrion,
O75044,,
O75064,,
O75083;O75083-3,Cytoplasm,Actin regulation
O75116,,Actin regulation
O75122-3,Cytoplasm,
O75127,Mitochondrion,
O75131,,
O75146;O75146-2,Cytoplasm,
O75150;O75150-4;O75150-3,Nucleus,
O75151,Nucleolus,
O75152,,
O75153,Cytoplasm,
O75165,,
O75170-6;O75170-2;O75170-4;O75170-5;O75170,Cytoplasm,
O75175;O75175-2,,
O75179-7;O75179-2;O75179;O75179-6;O75179-4,,
O75182-2;O75182,Nucleus,
O75190;O75190-4,,
O75208,Mitochondrion,
O75223;O75223-3,,
O75251;O75251-2,Mitochondrion,complex I
O75298;O75298-3;O75298-2,ER,
O75306;O75306-2,Mitochondrion,complex I
O75312,,
O75323;O75323-2,,
O75340;O75340-2,,
O75347;O75347-2,Cytoplasm,
O75348,,
O75351,,
O75352-2;O75352,,
O75362,Nucleus,
O75367-3;O75367;O75367-2,Nucleus,
O75368,,
O75369-8,Cytoplasm,
O75376,Nucleus,
O75380,Mitochondrion,complex I
O75381-2;O75381,,
O75390,Mitochondrion,
O75391,Nucleus,
O75394,Mitochondrion,
O75396,ER,
O75400,Nucleus,
O75410;O75410-2;O75410-7;O75410-3;O75410-6;O75410-5;O75410-4,,
O75414,,
O75419-2;O75419;O75419-3,,
O75427,,
O75431;O75431-2,Mitochondrion,
O75436;O75436-2,Cytoplasm,
O75438;O75438-2,Mitochondrion,complex I
O75439,Mitochondrion,
O75446,Nucleus,
O75448;O75448-2,Nucleus,
