"Entrez GeneId","Gene Symbol","Name","Genome Location","Chr Band","Somatic","Germline","Tumour Types(Somatic)","Tumour Types(Germline)","Cancer Syndrome","Tissue Type","Molecular Genetics","Role in Cancer","Mutation Types","Translocation Partner","Other Germline Mut","Other Syndrome","Synonyms","Uniprot_ID","Annotation"
25,"ABL1","v-abl Abelson murine leukemia viral oncogene homolog 1","9:130835447-130885683","9q34.1","yes","","CML, ALL, T-ALL","","","L","Dom","oncogene","T, Mis","BCR, ETV6, NUP214","","","p150,ABL1,25,ENSG00000097007,P00519,v-abl,bcr/abl,JTK7,c-ABL,ABL","P00519","5 out of 5"
27,"ABL2","c-abl oncogene 2, non-receptor tyrosine kinase","1:179107718-179143044","1q24-q25","yes","","AML","","","L","Dom","oncogene","T","ETV6","","","ARG,ABL2,27,ENSG00000143322,P42684,ABLL,RP11-177A2_3","P42684","5 out of 5"
90,"ACVR1","activin A receptor, type I","2:157737531-157799493","2q23-q24","yes","","DIPG","","","O","Dom","oncogene","Mis","","yes","Fibrodysplasia ossificans progressiva","SKR1,90,ACVR1,ENSG00000115170,Q04771,ACVRLK2,FOP,ALK2,ACTRI","Q04771","5 out of 5"
92,"ACVR2A","activin A receptor type 2A","2:147845153-147927274","2q22.3-q23.1","yes","","large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus","","","E","Rec","TSG","Mis, N, F","","","","ACVR2,ACVR2A,92,ENSG00000121989,ACTRII,P27037","P27037","5 out of 5"
207,"AKT1","v-akt murine thymoma viral oncogene homolog 1","14:104770341-104792643","14q32.32","yes","","breast, colorectal, ovarian, NSCLC","","","E","Dom","oncogene","Mis","","","","AKT1,P31749,RAC-ALPHA,RAC,PRKBA,PKB-ALPHA,PKB,MGC99656,AKT,ENSG00000142208,207","P31749","5 out of 5"
208,"AKT2","v-akt murine thymoma viral oncogene homolog 2","19:40233872-40265267","19q13.1-q13.2","yes","","ovarian, pancreatic","","","E","Dom","oncogene","A","","","","PKBBETA,AKT2,208,ENSG00000105221,RAC-BETA,P31751,PRKBB","P31751","5 out of 5"
217,"ALDH2","aldehyde dehydrogenase 2 family (mitochondrial)","12:111766983-111809575","12q24.2","yes","","leiomyoma","","","M","Dom","TSG","T","HMGA2","","","ALDHI,ALDH2,217,ENSG00000111275,ALDH-E2,P05091,MGC1806,ALDM","P05091","5 out of 5"
238,"ALK","anaplastic lymphoma kinase (Ki-1)","2:29193224-29920659","2p23","yes","yes","ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour","neuroblastoma","familial neuroblastoma","L, E, M","Dom","oncogene/fusion","T, Mis, A","NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1","","","CD246,ENSG00000171094,238,ALK,Q9UM73,TFG/ALK","Q9UM73","5 out of 5"
324,"APC","adenomatous polyposis of the colon gene","5:112754891-112844126","5q21","yes","yes","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","adenomatous polyposis coli; Turcot syndrome","E, M, O","Rec","TSG","D, Mis, N, F, S","","","","DP2,324,APC,ENSG00000134982,P25054,FPC,GS,DP3,DP2_5","P25054","5 out of 5"
330,"BIRC3","baculoviral IAP repeat-containing 3","11:102324510-102337102","11q22","yes","","CLL, MALT, MCL, MM","","","L","Dom","oncogene/TSG","D, F, N, T, Mis","MALT1","","","AIP1,BIRC3,330,ENSG00000023445,HIAP1,Q13489,MIHC,CIAP2,API2,cIAP2,MALT2,hiap-1,RNF49,HAIP1","Q13489","5 out of 5"
