Entry	Gene names	Annotation	Mass
P11217	PYGM	5 out of 5	97,092
Q9NR77	PXMP2 PMP22	4 out of 5	22,253
Q9Y3T6	R3HCC1	3 out of 5	49,092
P50876	RNF144A KIAA0161 RNF144 UBCE7IP4	5 out of 5	32,890
P01116	KRAS KRAS2 RASK2	5 out of 5	21,656
Q9Y2K5	R3HDM2 KIAA1002	4 out of 5	106,999
A8MTL3	RNF212B C14orf164	2 out of 5	33,570
P61106	RAB14	5 out of 5	23,897
P59190	RAB15	5 out of 5	24,391
Q9UL25	RAB21 KIAA0118	5 out of 5	24,348
P29762	CRABP1 RBP5	4 out of 5	15,566
Q9UPQ7	PDZRN3 KIAA1095 LNX3 SEMCAP3	5 out of 5	119,596
P29373	CRABP2	5 out of 5	15,693
P15153	RAC2	5 out of 5	21,429
O15315	RAD51B RAD51L1 REC2	5 out of 5	42,196
Q96PU8	QKI HKQ	5 out of 5	37,671
P51151	RAB9A RAB9	5 out of 5	22,838
Q9H6Z4	RANBP3	5 out of 5	60,210
Q2KHR3	QSER1	3 out of 5	189,972
Q7Z419	RNF144B IBRDC2 P53RFP	5 out of 5	33,697
Q9H0T7	RAB17	5 out of 5	23,491
O60671	RAD1 REC1	5 out of 5	31,827
Q7Z5L2	R3HCC1L C10orf28 GIDRP88	4 out of 5	87,883
Q96B01	RAD51AP1 PIR51	5 out of 5	38,457
P61224	RAP1B OK/SW-cl.11	5 out of 5	20,825
Q15907	RAB11B YPT3	5 out of 5	24,489
O60896	RAMP3	5 out of 5	16,518
Q86U06	RBM23 RNPC4 PP239	5 out of 5	48,731
Q9NYR8	RDH8 PRRDH SDR28C2	5 out of 5	33,755
O95072	REC8 REC8L1	5 out of 5	62,614
Q9H0Z9	RBM38 RNPC1 SEB4	5 out of 5	25,498
Q6ZSC3	RBM43 C2orf38	2 out of 5	40,666
Q9Y5S9	RBM8A RBM8 HSPC114 MDS014	5 out of 5	19,889
Q9H082	RAB33B	5 out of 5	25,718
Q5U651	RASIP1	5 out of 5	103,457
Q9NW64	RBM22 ZC3H16 199G4	5 out of 5	46,896
P25800	LMO1 RBTN1 RHOM1 TTG1	5 out of 5	17,828
Q8TC12	RDH11 ARSDR1 PSDR1 SDR7C1 CGI-82	5 out of 5	35,386
Q9P2K3	RCOR3 KIAA1343	5 out of 5	55,581
Q9BTD8	RBM42	4 out of 5	50,414
Q7Z6P3	RAB44	3 out of 5	110,850
Q92928	RAB1C	3 out of 5	22,017
O14966	RAB29 RAB7L1	5 out of 5	23,155
